metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1777447093,1.000000,,,,true,,GET,http://localhost:8047/,HTTP/1.1,default,,200,,,http://localhost:8047/,,
http_req_duration,1777447093,60.016600,,,,true,,GET,http://localhost:8047/,HTTP/1.1,default,,200,,,http://localhost:8047/,,
http_req_blocked,1777447093,6.863900,,,,true,,GET,http://localhost:8047/,HTTP/1.1,default,,200,,,http://localhost:8047/,,
http_req_connecting,1777447093,0.529700,,,,true,,GET,http://localhost:8047/,HTTP/1.1,default,,200,,,http://localhost:8047/,,
http_req_tls_handshaking,1777447093,0.000000,,,,true,,GET,http://localhost:8047/,HTTP/1.1,default,,200,,,http://localhost:8047/,,
http_req_sending,1777447093,0.000000,,,,true,,GET,http://localhost:8047/,HTTP/1.1,default,,200,,,http://localhost:8047/,,
http_req_waiting,1777447093,59.372900,,,,true,,GET,http://localhost:8047/,HTTP/1.1,default,,200,,,http://localhost:8047/,,
http_req_receiving,1777447093,0.643700,,,,true,,GET,http://localhost:8047/,HTTP/1.1,default,,200,,,http://localhost:8047/,,
http_req_failed,1777447093,0.000000,,,,true,,GET,http://localhost:8047/,HTTP/1.1,default,,200,,,http://localhost:8047/,,
checks,1777447093,1.000000,Homepage loaded (200),,,,,,,,default,,,,,,,
http_reqs,1777447093,1.000000,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_duration,1777447093,22.076600,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_blocked,1777447093,0.000000,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_connecting,1777447093,0.000000,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_tls_handshaking,1777447093,0.000000,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_sending,1777447093,0.000000,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_waiting,1777447093,21.076600,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_receiving,1777447093,1.000000,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_failed,1777447093,0.000000,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
checks,1777447093,1.000000,Page loaded (200),,,,,,,,default,,,,,,,
checks,1777447093,1.000000,Page has content,,,,,,,,default,,,,,,,
vus,1777447094,1.000000,,,,,,,,,,,,,,,,
vus_max,1777447094,1.000000,,,,,,,,,,,,,,,,
vus,1777447095,1.000000,,,,,,,,,,,,,,,,
vus_max,1777447095,1.000000,,,,,,,,,,,,,,,,
http_reqs,1777447095,1.000000,,,,true,,GET,http://localhost:8047/apparel,HTTP/1.1,default,,200,,,http://localhost:8047/apparel,,
http_req_duration,1777447095,42.549500,,,,true,,GET,http://localhost:8047/apparel,HTTP/1.1,default,,200,,,http://localhost:8047/apparel,,
http_req_blocked,1777447095,0.000000,,,,true,,GET,http://localhost:8047/apparel,HTTP/1.1,default,,200,,,http://localhost:8047/apparel,,
http_req_connecting,1777447095,0.000000,,,,true,,GET,http://localhost:8047/apparel,HTTP/1.1,default,,200,,,http://localhost:8047/apparel,,
http_req_tls_handshaking,1777447095,0.000000,,,,true,,GET,http://localhost:8047/apparel,HTTP/1.1,default,,200,,,http://localhost:8047/apparel,,
http_req_sending,1777447095,0.000000,,,,true,,GET,http://localhost:8047/apparel,HTTP/1.1,default,,200,,,http://localhost:8047/apparel,,
http_req_waiting,1777447095,41.952100,,,,true,,GET,http://localhost:8047/apparel,HTTP/1.1,default,,200,,,http://localhost:8047/apparel,,
http_req_receiving,1777447095,0.597400,,,,true,,GET,http://localhost:8047/apparel,HTTP/1.1,default,,200,,,http://localhost:8047/apparel,,
http_req_failed,1777447095,0.000000,,,,true,,GET,http://localhost:8047/apparel,HTTP/1.1,default,,200,,,http://localhost:8047/apparel,,
checks,1777447095,1.000000,Page loaded (200),,,,,,,,default,,,,,,,
