metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1777447143,1.000000,,,,true,,GET,http://localhost:8047/newproducts,HTTP/1.1,default,,200,,,http://localhost:8047/newproducts,,
http_req_duration,1777447143,147.793100,,,,true,,GET,http://localhost:8047/newproducts,HTTP/1.1,default,,200,,,http://localhost:8047/newproducts,,
http_req_blocked,1777447143,8.900100,,,,true,,GET,http://localhost:8047/newproducts,HTTP/1.1,default,,200,,,http://localhost:8047/newproducts,,
http_req_connecting,1777447143,0.000000,,,,true,,GET,http://localhost:8047/newproducts,HTTP/1.1,default,,200,,,http://localhost:8047/newproducts,,
http_req_tls_handshaking,1777447143,0.000000,,,,true,,GET,http://localhost:8047/newproducts,HTTP/1.1,default,,200,,,http://localhost:8047/newproducts,,
http_req_sending,1777447143,0.523500,,,,true,,GET,http://localhost:8047/newproducts,HTTP/1.1,default,,200,,,http://localhost:8047/newproducts,,
http_req_waiting,1777447143,146.711600,,,,true,,GET,http://localhost:8047/newproducts,HTTP/1.1,default,,200,,,http://localhost:8047/newproducts,,
http_req_receiving,1777447143,0.558000,,,,true,,GET,http://localhost:8047/newproducts,HTTP/1.1,default,,200,,,http://localhost:8047/newproducts,,
http_req_failed,1777447143,0.000000,,,,true,,GET,http://localhost:8047/newproducts,HTTP/1.1,default,,200,,,http://localhost:8047/newproducts,,
checks,1777447143,1.000000,New Products loaded,,,,,,,,default,,,,,,,
http_reqs,1777447143,1.000000,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_duration,1777447143,21.693500,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_blocked,1777447143,0.000000,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_connecting,1777447143,0.000000,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_tls_handshaking,1777447143,0.000000,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_sending,1777447143,0.000000,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_waiting,1777447143,21.388100,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_receiving,1777447143,0.305400,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
http_req_failed,1777447143,0.000000,,,,true,,GET,http://localhost:8047/electronics,HTTP/1.1,default,,200,,,http://localhost:8047/electronics,,
checks,1777447143,1.000000,Electronics loaded,,,,,,,,default,,,,,,,
http_reqs,1777447143,1.000000,,,,true,,GET,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,,
http_req_duration,1777447143,52.198600,,,,true,,GET,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,,
http_req_blocked,1777447143,0.000000,,,,true,,GET,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,,
http_req_connecting,1777447143,0.000000,,,,true,,GET,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,,
http_req_tls_handshaking,1777447143,0.000000,,,,true,,GET,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,,
http_req_sending,1777447143,0.000000,,,,true,,GET,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,,
http_req_waiting,1777447143,51.470700,,,,true,,GET,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,,
http_req_receiving,1777447143,0.727900,,,,true,,GET,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,,
http_req_failed,1777447143,0.000000,,,,true,,GET,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?viewmode=grid&orderby=0&pagesize=3,,
checks,1777447143,1.000000,Cell Phones loaded (pagesize=3),,,,,,,,default,,,,,,,
http_reqs,1777447143,1.000000,,,,true,,GET,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,,
http_req_duration,1777447143,40.972900,,,,true,,GET,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,,
http_req_blocked,1777447143,0.000000,,,,true,,GET,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,,
http_req_connecting,1777447143,0.000000,,,,true,,GET,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,,
http_req_tls_handshaking,1777447143,0.000000,,,,true,,GET,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,,
http_req_sending,1777447143,0.000000,,,,true,,GET,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,,
http_req_waiting,1777447143,40.124300,,,,true,,GET,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,,
http_req_receiving,1777447143,0.848600,,,,true,,GET,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,,
http_req_failed,1777447143,0.000000,,,,true,,GET,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,HTTP/1.1,default,,200,,,http://localhost:8047/cell-phones?pagenumber=1&viewmode=grid&orderby=0&pagesize=3,,
checks,1777447143,1.000000,Page loaded (200),,,,,,,,default,,,,,,,
checks,1777447143,1.000000,Products displayed,,,,,,,,default,,,,,,,
checks,1777447143,1.000000,Page content updated,,,,,,,,default,,,,,,,
vus,1777447144,1.000000,,,,,,,,,,,,,,,,
vus_max,1777447144,1.000000,,,,,,,,,,,,,,,,
