metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1777447167,1.000000,,,,true,,GET,http://localhost:8047/search?q=Pride%20and%20Prejudice,HTTP/1.1,default,,200,,,http://localhost:8047/search?q=Pride%20and%20Prejudice,,
http_req_duration,1777447167,52.423300,,,,true,,GET,http://localhost:8047/search?q=Pride%20and%20Prejudice,HTTP/1.1,default,,200,,,http://localhost:8047/search?q=Pride%20and%20Prejudice,,
http_req_blocked,1777447167,6.723700,,,,true,,GET,http://localhost:8047/search?q=Pride%20and%20Prejudice,HTTP/1.1,default,,200,,,http://localhost:8047/search?q=Pride%20and%20Prejudice,,
http_req_connecting,1777447167,0.533200,,,,true,,GET,http://localhost:8047/search?q=Pride%20and%20Prejudice,HTTP/1.1,default,,200,,,http://localhost:8047/search?q=Pride%20and%20Prejudice,,
http_req_tls_handshaking,1777447167,0.000000,,,,true,,GET,http://localhost:8047/search?q=Pride%20and%20Prejudice,HTTP/1.1,default,,200,,,http://localhost:8047/search?q=Pride%20and%20Prejudice,,
http_req_sending,1777447167,0.533700,,,,true,,GET,http://localhost:8047/search?q=Pride%20and%20Prejudice,HTTP/1.1,default,,200,,,http://localhost:8047/search?q=Pride%20and%20Prejudice,,
http_req_waiting,1777447167,51.224600,,,,true,,GET,http://localhost:8047/search?q=Pride%20and%20Prejudice,HTTP/1.1,default,,200,,,http://localhost:8047/search?q=Pride%20and%20Prejudice,,
http_req_receiving,1777447167,0.665000,,,,true,,GET,http://localhost:8047/search?q=Pride%20and%20Prejudice,HTTP/1.1,default,,200,,,http://localhost:8047/search?q=Pride%20and%20Prejudice,,
http_req_failed,1777447167,0.000000,,,,true,,GET,http://localhost:8047/search?q=Pride%20and%20Prejudice,HTTP/1.1,default,,200,,,http://localhost:8047/search?q=Pride%20and%20Prejudice,,
checks,1777447167,1.000000,status is 200,,,,,,,,default,,,,,,,
checks,1777447167,1.000000,search results displayed (if search page),,,,,,,,default,,,,,,,
checks,1777447167,1.000000,product page displayed (if redirected),,,,,,,,default,,,,,,,
checks,1777447167,1.000000,query keyword found in results,,,,,,,,default,,,,,,,
vus,1777447168,1.000000,,,,,,,,,,,,,,,,
vus_max,1777447168,1.000000,,,,,,,,,,,,,,,,
data_sent,1777447168,102.000000,,,,,,,,,default,,,,,,,
data_received,1777447168,44293.000000,,,,,,,,,default,,,,,,,
iteration_duration,1777447168,1536.459000,,,,,,,,,default,,,,,,,
iterations,1777447168,1.000000,,,,,,,,,default,,,,,,,
